absolutnie,绝对,"jué duì"
owoc,水果,shuíguǒ
"oświadczać się",求婚,"qiú hūn"
oświadczenie,声明,"shēng míng"
oświadczyny,求婚,"qiú hūn"
"oświadczyć się",求婚,"qiú hūn"
Oświęcim,奥斯威辛,"ào sī wēi xīn"
ołówek,铅笔,"qiān bǐ"
paczka,包裹,"bāo guǒ"
pajac,小丑,"xiǎo chǒu"
pająk,蜘蛛,zhīzhū
pakować,包,bāo
palec,手指,shǒuzhǐ
palec,脚趾,jiǎozhǐ
paliwo,燃料,"rán liào"
palić,烧伤,"shāo shāng"
palić,抽烟,"chōu yān"
pamiętać,记得,"jì de"
pamiętnik,日记,"rì jì"
pamięć,记忆,"jì yì"
pan,先生,xiānsheng
"pan młody",新郎,"xīn láng"
panda,熊猫,xióngmāo
pani,小姐,xiǎojie
panika,恐慌,"kǒng huāng"
Panna,处女座,chùnǚzuò
"panna młoda",新娘,"xīn niáng"
państwo,国家,"guó jiā"
pantera,豹子,"bào zi"
papier,纸,zhǐ
"papier toaletowy",卫生纸,"wèishēng zhǐ"
"papier ścierny",沙纸,shāzhǐ
papieros,香烟,"xiāng yān"
papież,教皇,jiàohuáng
papryka,辣椒,"là jiāo"
papuga,鹦鹉,yīngwǔ
para,双,shuāng
para,蒸气,"zhēng qì"
parabola,抛物线,pāowùxiàn
parasol,伞,sǎn
parasolka,伞,sǎn
park,公园,gōngyuán
parking,停车场,"tíng chē chǎng"
parowóz,蒸汽火车,"zhēng qì huǒ chē"
partia,政党,"zhèng dǎng"
pasażer,乘客,chéngkè
pasja,激情,"jī qíng"
pasożyt,寄生虫,"jì shēng chóng"
"pasta do zębów",牙膏,"yá gāo"
pasterz,牧羊者,mùyángzhě
patelnia,平底锅,"píng dì guō"
patent,专利,"zhuān lì"
patriota,爱国者,"ài guó zhě"
patriotyzm,爱国,"ài guó"
Patrycja,帕特里夏,pàtèlǐxià
Patryk,帕特里克,pàtèlǐkè
patrzeć,看,kàn
Paulina,帕乌里娜,pàwūlǐnà
pauza,暂停,"zàn tíng"
paw,孔雀,kǒngquè
Paweł,保罗,bǎoluó
paznokieć,指甲,"zhǐ jia"
pazur,爪,zhuǎ
pazur,爪,zhǎo
październik,十月,shíyuè
pałac,宫殿,gōngdiàn
pałeczka,筷子,"kuài zi"
pałeczki,筷子,"kuài zi"
pałka,警棍,"jǐng gùn"
pchła,蚤,zăo
pech,不幸,"bù xìng"
pedał,踏板,"tà bǎn"
Pekin,北京,"běi jīng"
pelikan,鹈鹕,"tí hú"
penis,阴茎,yīnjìng
pępek,肚脐,"dù qí"
perfekcja,完美,"wán měi"
pergamin,羊皮纸,"yáng pí zhǐ"
perkusista,鼓手,"gǔ shǒu"
perspektywa,透视,"tòu shì"
perła,珍珠,"zhēn zhū"
perły,珍珠,zhēnzhū
pełnia,满月,mănyuè
pełny,满的,mǎnde
pi,圆周率,"yuán zhōu lǜ"
piach,沙,shā
piasek,沙,shā
piaski,黄砂,huángshā
piec,烤炉,"kǎo lú"
piec,烤,kǎo
piechota,步兵,"bù bīng"
piękno,美,měi
piękność,美丽,"měi lì"
piękny,漂亮,piàoliang
piękny,美丽,měilì
piekło,地狱,"dì yù"
pielęgniarka,护士,hùshi
pielucha,尿布,"niào bù"
pieniądze,钱,qián
pieprz,胡椒,hújiāo
pierogi,饺子,jiǎozi
pierwiastek,元素,"yuán sù"
pierze,羽绒,yŭróng
pierścionek,戒指,"jiè zhi"
pies,狗,gǒu
pieszy,行人,xíngrén
piętro,楼,lóu
piętro,层,céng
pięć,五,wǔ
pieśń,圣歌,"shèng gē"
pięść,拳头,"quán tou"
pijak,醉鬼,zuìguĭ
pijawka,蚂蟥,"mǎ huáng"
pilot,飞行员,"fēi xíng yuán"
pilot,遥控器,"yáo kòng qì"
"ping pong",乒乓球,"pīng pāng qiú"
ping-pong,乒乓球,"pīng pāng qiú"
pingwin,企鹅,"qǐ é"
pion,π介子,"π jiè zǐ"
pionowy,垂直的,"chuí zhí de"
pióro,钢笔,"gāng bǐ"
pióro,羽毛,"yǔ máo"
piorun,闪电,"shǎn diàn"
piosenka,歌,gē
piosenka,歌曲,gēqǔ
piosenkarz,歌手,gēshǒu
piosenkarz,歌唱家,gēchàngjīa
Piotr,彼得,bǐdé
piramida,金字塔,jīnzìtǎ
pirat,盗印者,"dào yìn zhě"
pirat,海盗,"hǎi dào"
pisanka,彩蛋,cǎidàn
pisarz,书写人,shūxiěrén
pisarz,作家,zuòjiā
pisać,写,xiě
pismo,笔迹,"bǐ jì"
piwnica,地窖,dìjiào
piwo,啤酒,"pí jiǔ"
pizza,比萨饼,"bǐ sà bǐng"
pić,喝,hē
piłka,球,qiú
"piłka koszykowa",篮球,"lán qiú"
"piłka nożna",足球,zúqiú
"piłka siatkowa",排球,"pái qiú"
piłkarz,足球员,zúqiúyuán
piątek,星期五,xīngqīwǔ
piżama,睡衣,shuìyī
plac,广场,"guǎng chǎng"
plama,渍,zì
plan,计划,"jì huà"
planeta,行星,"xíng xīng"
plastyka,美术课,"měi shù kè"
platyna,白金,báijīn
plaża,海滩,"hǎi tān"
plecak,背包,bēibāo
plecy,背,bèi
plemię,部落,"bù luò"
plus,加号,"jiā hào"
Pluton,冥王星,"míng wáng xīng"
pobierać,下载,"xià zài"
pocałować,吻,wěn
pocałunek,吻,wěn
pochwa,阴道,yīndào
pocisk,枪弹,qiāngdàn
pociąg,火车,huǒchē
poczta,邮局,yoújú
"poczta elektroniczna",电子邮件,"diàn zi yóu jiàn"
początek,开端,"kāi duān"
podatek,税,shuì
podaż,供应,gōngyìng
"poddać się",投降,"tóu xiáng"
podejrzany,怀疑,"huái yí"
podeszwa,鞋底,"xié dǐ"
podkowa,马蹄铁,"mǎ tí tiě"
podkładka,垫圈,diàquān
podręcznik,课本,kèběn
podróż,旅游,"lǚ yóu"
podróż,旅行,"lǚ xíng"
podróżnik,旅行者,"lǚ xíng zhě"
podróżować,旅游,"lǚ yóu"
poduszka,枕头,zhěntóu
podwórko,庭院,"tíng yuàn"
podwórze,院子,yuànzi
podziw,钦佩,"qīn pèi"
podłoga,地板,dìbǎn
podły,卑鄙,"bēi bì"
poeta,诗人,"shī rén"
poezja,诗歌,"shī gē"
pogoda,天气,tiānqì
pogodny,欢乐,huānlè
pogromca,驯养人,"xùn yǎng rén"
pojezierze,湖泊,húpò
pokaz,表演,"biǎo yǎn"
pokazać,表示,"biǎo shì"
poker,扑克,"pū kè"
pokój,房间,fángjiān
pokój,和平,hépíng
pokrywka,盖,gài
Polak,波兰人,"bō lán rén"
pole,田地,"tián dì"
policja,警察,"jǐng chá"
policjant,警察,"jǐng chá"
poliester,伸缩尼龙,shēnsuōnílóng
polować,打猎,"dǎ liè"
Polska,波兰,"Bō lán"
polski,波兰的,"bō lán de"
polski,波兰语,"bō lán yǔ"
pomagać,帮助,"bāng zhù"
pomarańcza,橙子,"chéng zi"
pomarańczowy,橙色,chéngsè
pomidor,西红柿,"xī hóng shì"
pomoc,帮助,"bāng zhù"
pompa,抽水机,"chōu shuǐ jī"
pompka,打气筒,"dǎ qì tǒng"
pompować,抽水,"chōu shuǐ"
pompować,打气,"dǎ qì"
pomysł,想法,xiǎngfǎ
pomyślność,繁荣,"fán róng"
pomyślny,成功,chénggōng
pończochy,长袜,"cháng wà"
poniedziałek,星期一,xīngqīyī
ponury,阴郁的,"yīn yù de"
popiół,灰,huī
popołudnie,下午,xiàwǔ
popularność,流行,"liú xíng"
popyt,需求,xūqiú
por,韭葱,"jiǔ cōng"
poranek,早晨,"zǎo chén"
porażka,败北,"bài běi"
porcelana,瓷器,"cí qì"
pornograficzny,黄色,huángsè
poronienie,流产,"liú chǎn"
port,港口,"gǎng kǒu"
portfel,皮夹,"pí jiā"
portret,肖像,"xiào xiàng"
portret,画像,"huà xiàng"
portretować,画像,"huà xiàng"
Portugalia,葡萄牙,pútáoyá
porywać,绑架,"bǎng jià"
porządek,顺序,"shùn xù"
porządny,整齐的,zhěngqíde
posiłek,膳食,"shàn shí"
postrzał,抢伤,qiāngshāng
potęga,权势,quánshì
potem,然后,"rán hòu"
potężny,强有力的,"qiáng yǒu lì de"
potrafić,会,huì
potrzebować,需要,"xū yào"
potwierdzenie,确认,"què rèn"
potwór,怪物,"guài wu"
powaga,严肃,"yán sù"
powierzchnia,面积,"miàn jī"
powietrze,气,qì
powitanie,欢迎,huānyíng
powitać,欢迎,huānyíng
powodzenia,祝你好运,"zhù nǐ hǎo yùn"
powodzenie,流行,"liú xíng"
powódź,洪灾,"hóng zāi"
powrót,返回,"fǎn huí"
pozdrawiać,致敬,"zhì jìng"
pozdrowienia,问候,"wèn hòu"
pozdrowienie,问候,"wèn hòu"
poziom,水平,"shuǐ píng"
poziomka,草莓,cǎoméi
poziomy,水平的,"shuǐ píng de"
Poznań,波兹南,"bō zī nán"
poznać,认识,"rèn shi"
poznać,认出,"rèn chū"
pozytron,正电子,"zhēng diàn zǐ"
pościel,被单,"bèi dān"
pośladek,臀部,túnbù
pośrednik,媒人,méiren
pół,半,bàn
północ,北,běi
"Północna Dakota","北 达科他","běi dákētā"
północny,北边,běibiān
północny,北方,běifāng
północny,北部,běibù
połowa,半,bàn
półprodukt,半成品,bànchéngpĭn
południe,南,nán
południe,中午,zhōngwǔ
"Południowa Dakota","南 达科他","nán dákētā"
południowy,南边,nánbiān
południowy,南方,nánfāng
południowy,南部,nánbù
pożar,火灾,huǒzāi
pożegnanie,告别,"gào bié"
pożyczać,借,jiè
pożyczyć,借,jiè
praca,工作,gōngzuò
pracować,工作,gōngzuò
pracownia,工作室,"gōng zuò shì"
pracownik,工人,"gōng rén"
pragnienie,渴望,"kě wàng"
pragnąć,渴望,"kě wàng"
pralka,洗衣机,xǐyījī
pralnia,洗衣店,"xǐ yī diàn"
prasa,新闻界,"xīn wén jiè"
PRAWDA,真实,zhēnshí
prawdziwy,真的,"zhēn de"
prawdziwy,假的,"jiǎ de"
prawnik,律师,lǜshī
prawo,法律,fǎlǜ
prawosławie,东正教,dōngzhèngjiào
prawy,右边的,"yòu biān de"
prędkość,速度,"sù dù"
prękość,速度,"sù dù"
premier,总理,zǒnglǐ
presja,压力,"yā lì"
prezent,礼物,lǐwù
prezentacja,简报,"jiǎn bào"
prezerwatywa,安全套,ānquántào
prezes,会长,"huì zhǎng"
próba,尝试,chángshì
problem,问题,wèntí
próbować,试,shì
procesor,处理器,"chǔ lǐ qì"
proch,火药,"huǒ yào"
producent,制造商,"zhì zào shāng"
produkcja,生产,"shēng chǎn"
produkt,商品,shāngpĭn
prohibicja,禁酒令,"jìn jiǔ lìng"
projekt,计划,jìhuà
projektant,设计者,shèjìzhě
prokurator,检察官,jiǎncháguān
prolog,开场白,"kāi chǎng bái"
promień,光线,"guāng xiàn"
promień,半径,"bàn jìng"
prosiak,小猪,"xiǎo zhū"
prosię,小猪,"xiǎo zhū"
prosić,问,wèn
prostokąt,长方形,"cháng fāng xíng"
prosty,简单的,"jiǎn dān de"
prosty,直的,"zhí de"
proszę,请,qǐng
protestantyzm,新教,xīnjiào
proteza,义肢,"yì zhī"
proton,质子,"zhì zǐ"
prowincja,省,shěng
próżnia,真空,zhēnkōng
prysznic,淋浴,"lín yù"
przechowalnia,衣帽寄放处,"yī mào jì fàng chǔ"
"przechowalnia bagażu",行李寄存处,"xíng li jì cún chù"
przedpołudnie,上午,shàngwǔ
przedramię,前臂,qiánbì
przedstawiać,介绍,jièshào
przedszkole,幼儿园,"yòu ér yuán"
przędza,纱线,shāxiàn
przegub,腕,wàn
"przejście dla pieszych",斑马线,bānmǎxiàn
"przejście podziemne",地道,dìdào
przekazać,转达,zhuǎndá
przekazać,传递,chuándì
przekazywać,转达,zhuǎndá
przekazywać,传递,chuándì
przekręcać,拧,níng
przemysł,工业,gōngyè
Przemysław,培舍梅斯拉夫,"péi shè méi sī lā fū"
przepraszam,对不起,duìbuqǐ
przepraszać,道歉,dàoqiàn
przepraszać,对不起,duìbuqǐ
przeprawy,调料,tiáoliào
przeprosić,道歉,dàoqiàn
przerwa,缝隙,"fèng xì"
przerwa,间隔,"jiàn gé"
przestępstwo,犯罪,"fàn zuì"
przestrzeń,空隙,kòngxì
przestrzeń,间隔,jiāngé
przeszkadzać,阻碍,"zǔ ài"
przeszkoda,障碍,"zhàng ài"
przeszłość,过去,"guò qù"
przetrwanie,生存,"shēng cún"
przetrwać,生存,"shēng cún"
przeznaczenie,命运,"mìng yùn"
prześcieradło,床单,chuángdān
"przyciąganie ziemskie",地球重力,"dì qiú zhòng lì"
przygoda,奇遇,"qí yù"
przygotować,准备,"zhǔn bèi"
przyjaciel,朋友,"péng you"
przyjaźń,友谊,"yǒu yì"
przyjęcie,晚会,wǎnhuì
przyjęcie,宴会,yànhuì
przyjemność,高兴,"gāo xìng"
przykleić,贴,tiē
przykład,榜样,"bǎng yàng"
przymus,强迫,"qiǎng pò"
przyprawy,香料,xiāngliào
przypływ,高潮,"gāo cháo"
przyroda,自然,"zì rán"
przysięgać,发誓,fāshì
"przystanek autobusowy",汽车站,qìchēzhàn
przystojny,英俊的,"yīng jùn de"
przyszłość,未来,"wèi lái"
przytomny,意识,yìshì
przytulać,紧抱,"jǐn bào"
przytulić,紧抱,"jǐn bào"
przywódca,领袖,"lǐng xiù"
prąd,电流,"diàn liú"
prąd,水流,"shuǐ liú"
pszczoła,蜜蜂,"mì fēng"
"pszczoła miodna",蜜蜂,mìfēng
pszenica,小麦,"xiǎo mài"
ptak,鸟,niǎo
pudełko,盒子,"hé zi"
puma,美洲狮,"měi zhōu shī"
punk,朋克,"péng kè"
pustelnik,隐士,"yǐn shì"
pustka,空虚,"kōng xū"
pusty,空的,kōngde
pustynia,沙漠,shāmò
puszka,罐,guàn
puzzle,拼图玩具,"pīntú wánjù"
puzzle,缕花锯,lǚhuāju
pycha,傲慢,"ào màn"
pytanie,问题,wèntí
pytać,问,wèn
pył,灰尘,"huī chén"
pyłek,微尘,"wēi chén"
płacić,支付,"zhī fù"
płacz,哭,kū
płakać,哭,kū
płaszcz,大衣,"dà yī"
płatek,花瓣,"huā bàn"
płeć,性,xìng
płomień,火焰,"huǒ yàn"
płonący,燃烧,"rán shāo"
"płyn hamulcowy",制动液,"zhì dòng yè"
"płyta gramofonowa",唱片,chàngpiàn
płytki,浅的,qiǎnde
rabarbar,大黄,"dài huáng"
rabat,折扣,"zhé kòu"
raca,闪光,"shǎn guāng"
rachunek,发票,fāpiào
rada,劝告,quàngào
Radek,莱德克,láidéke
radio,收音机,"shōu yīn jī"
radosny,高兴的,"gāo xìng de"
radość,快乐,kuàilè
Rafał,拉法乌,lāfǎwū
raj,天堂,"tiān táng"
rajstopy,裤袜,"kù wà"
Rak,巨蟹座,"jù xiè zuò"
rakieta,火箭,"huǒ jiàn"
ramię,上臂,shàngbì
rana,受伤,"shòu shāng"
randka,约会,"yuē huì"
ranek,早晨,"zǎo chén"
ranić,伤,shāng
ranić,伤口,shāngkŏu
ranny,受伤的,"shòu shāng de"
rano,早上,zǎoshang
ratować,援救,"yuán jiù"
ratusz,市政厅,"shì zhèng tīng"
razem,一起,"yī qǐ"
rdza,锈,xiù
rdzewieć,生锈,"shēng xiù"
realizować,实现,"shí xiàn"
ręcznik,毛巾,"máo jīn"
ręcznik,手巾,"shǒu jīn"
region,地区,"dì qū"
regionalny,地区的,"dì qū"
reguła,规则,guīzé
rejestracja,登记,"dēng jì"
rejestrować,登记,"dēng jì"
rejon,区,qū
ręka,手,shǒu
ręka,壁,bì
rękaw,袖子,xiùzi
rękawiczka,手套,"shǒu tào"
rekin,鲨鱼,shāyú
reklama,广告,guǎnggào
rekord,记录,"jì lù"
Remigiusz,雷米格士,"léi mǐ gé shì"
reportaż,报告,"bào gào"
republika,共和国,"gòng hé guó"
restauracja,饭馆,fànguǎn
rewolucja,革命,"gé mìng"
rezerwacja,预定,"yù dìng"
rezultat,结果,jiēguǒ
rezygnacja,辞呈,"cí chéng"
reżyser,导演,dǎoyǎn
riksza,黄包车,huángbāochē
robak,昆虫,kūnchóng
Robert,罗伯特,luōbótè
robić,工作,gōngzuò
robić,做,zuò
robić,做,zuò
robotnik,工人,"gōng rén"
rodzeństwo,兄弟姐妹,"xiōng dì jiě mèi"
rodzice,父母,fùmǔ
rodzice,爸妈,bàmā
rodzina,家庭,jiātíng
rodzić,生孩子,"shēng hái zi"
róg,角落,"jiǎo luò"
róg,角,jiǎo
rok,年,nián
"rolnik ",农民,nóngmín
rolnik,农夫,"nóng fū"
ropa,原油,"yuán yóu"
ropucha,蟾蜍,"chán chú"
Rosja,俄罗斯,éluósī
rower,自行车,zìxíngchē
równowaga,平衡,"píng héng"
równość,平等,"píng děng"
rozczarowanie,失望,"shī wàng"
rozmawiać,说,shuō
rozmowa,讨论,"tǎo lùn"
rozpoznać,认出,"rèn chū"
roztargniony,心不在焉,xīnbúzàiyān
roztargniony,健忘,jiànwàng
rozum,智力,"zhì lì"
rozumieć,懂,dǒng
roślina,植物,"zhí wù"
roślinność,植物,"zhí wù"
róża,玫瑰,méiguì
różowy,粉红,fěnhóng
różyczka,风疹,"fēng zhěn"
rubin,红宝石,hóngbǎoshí
ruch,移动,"yí dòng"
rudy,赤褐色,"chì hè sè"
Rumunia,罗马尼亚,"luō mǎ ní yà"
rura,管,guǎn
ruszać,移动,"yí dòng"
"ruszać się",移动,"yí dòng"
ryba,鱼,yú
rybitwa,海鸥,hǎiōu
Ryby,双鱼座,shuāngyúzuò
rycerz,爵士,juéshì
rysować,画,huà
rysunek,图画,"tú huà"
Ryszard,理沙德,lǐshādé
ryzyko,风险,"fēng xiǎn"
ryś,猞猁,shēlì
ryż,大米,"dà mǐ"
ryż,米饭,"mǐ fàn"
rzecz,东西,dōngxi
rzeka,河,hé
rzęsa,睫毛,"jié máo"
Rzeszów,热舒夫,"rè shū fu"
rzeźba,雕塑,"diāo sù"
rzeźnia,屠宰场,"tú zǎi chǎng"
rzeźnik,屠夫,"tú fū"
rzucać,投,tóu
rzucić,扔,réng
rząd,政府,"zhèng fǔ"
rząd,排,pǎi
sad,果园,guǒyuán
sadysta,性虐待狂者,xìngnüèdàikuángzhě
saksofon,萨克斯管,sākèsīguǎn
"sala sportowa",运动室,"yùn dòng shì"
salon,休闲室,"xiū xián shì"
salowa,护士长,hùshizhăng
sam,自己,"zì jǐ"
samobójca,自杀者,"zì shā zhě"
samobójstwo,自杀,"zì shā"
samochód,汽车,qìchē
samolot,飞机,fēijī
samotność,孤独,"gū dú"
samotny,孤独,gūdú
samotny,孤单,gūdān
samotny,寂寞,jìmò
samuraj,武士,"wǔ shì"
sandał,凉鞋,liángxié
Saper,踩地雷,"cǎi dì léi"
saper,工兵,"gōng bīng"
saper,挖地雷的兵,"wā dì léi de bīng"
sarna,鹿,lù
Saturn,土星,"tǔ xīng"
satysfakcja,满意,"mǎn yì"
sałata,莴苣,"wō jù"
sałatka,色拉,"sè lā"
schody,楼梯,lóutī
schron,庇护所,"bì hù suǒ"
schronisko,招待所,"zhāo dài suǒ"
Sebastian,塞巴斯蒂安,sàibāsīdìān
sekret,秘密,mìmì
sekretariat,秘书处,"mì shū chù"
sekretarka,秘书,mìshū
seler,芹菜,qíncài
sen,梦,mèng
sens,道理,"dào li"
sęp,秃鹫,tūjiù
ser,乳酪,rǔlào
ser,奶酪,nǎilào
serce,心,xīn
serwis,服务,fúwù
siano,干草,"gān cǎo"
siatkówka,视网膜,shìwǎngmó
siatkówka,排球,páiqiú
siedem,七,qī
siedzieć,坐,zuò
siekiera,斧,fǔ
sierociniec,孤儿院,"gū ér yuàn"
sierota,孤儿,"gū ér"
sierpień,八月,bāyuè
sikora,山雀,shānquè
silny,强的,qiángde
siodło,鞍,ān
siostra,姐妹,"jiě mèi"
siostra,姐姐,"jiě jie"
siostra,妹妹,"mèi mei"
"siostra zakonna",修女,xiūnü
siwy,灰色,"huī sè"
siła,力气,lìqi
skakać,跳,tiào
skarb,宝物,"bǎo wù"
skarpetka,袜子,wàzi
skała,岩,yán
sklep,商店,shāngdiàn
skoczyć,跳,tiào
skok,跳跃,"tiào yuè"
skomentować,评论,pínglùn
skóra,皮,pí
Skorpion,天蝎座,"tiān xié zuò"
skorpion,蝎子,"xiē zi"
skorupa,外壳,"wài ké"
skowronek,云雀,"yún què"
skracać,缩短,"suō duǎn"
"skręcać się",蠕动,"rú dòng"
skromność,谦逊,"qiān xùn"
skromny,谦虚,"qiān xū"
skrzat,矮子,"ǎi zi"
skrzydło,翅膀,"chì bǎng"
"skrzynka pocztowa",信箱,xìnxiāng
skrzypce,小提琴,"xiǎo tí qín"
skrzywiony,扭歪,niŭwài
skrzywiony,歪斜,"wāi xié"
skrzyżowanie,十字路口,"shízi lùkǒu"
"skupiać się",专心,zhuānxīn
skutek,结果,jiēguǒ
skwer,场地,chǎngdì
smacznego,祝你好胃口,"zhù nǐ hǎo wèi kǒu"
smacznego,请慢用,"qǐng màn yòng"
smaczny,好吃的,"hǎo chī de"
smak,味道,"wèi dao"
smażyć,油炸,"yóu zhà"
smoczek,橡皮奶头,"xiàng pí nǎi tóu"
smog,烟雾,"yān wù"
smok,龙,lóng
smutek,悲哀,bēiāi
smutny,悲哀的,"bēi āi de"
smycz,皮带,"pí dài"
snajper,狙击兵,"jū jī bīng"
sobota,星期六,xīngqīliù
soczewka,透镜,"tòu jìng"
"soczewka kontaktowa",隐形眼镜,"yǐn xíng yǎn jìng"
sojusz,结盟,"jié méng"
sok,果汁,guǒzhī
sokół,隼,sǔn
sól,盐,yán
solidarność,团结,"tuán jié"
Solidarność,团结工会,"tuán jié gōng huì"
Sonia,索妮娅,suǒníyà
sos,酱汁,"jiàng zhī"
"sos sojowy",酱油,"jiàng yóu"
sosna,松树,sōngshù
sowa,猫头鹰,máotóuyīng
spacer,散步,"sàn bù"
spacerować,散步,"sàn bù"
spać,睡,shuì
spędzać,花费,huāfèi
spędzić,花费,huāfèi
spodnie,裤子,kùzi
spokój,宁静,"níng jìng"
spokojny,平静的,"píng jìng de"
sport,运动,yùndòng
sport,体育,tǐyù
sportowiec,运动员,"yùn dòng yuán"
sporysz,麦角,"mài jiǎo"
"sposób użycia",用法,yòngfă
spotkanie,见面,jiànmiàn
spotkać,见,jiàn
"spotkać się",见面,"jiàn miàn"
"spotkać się",会见,"huì jiàn"
"spotykać się",见面,jiànmiàn
"spotykać się",会见,huìjiàn
sprawdzać,检查,"jiǎn chá"
sprawdzić,检查,"jiǎn chá"
sprawiedliwość,司法,"sī fǎ"
sprawiedliwy,公正的,"gōng zhèng de"
sprężarka,压缩机,"yā suō jī"
sprężyna,弹簧,"tán huáng"
sprzeczność,矛盾,máodùn
sprzedawca,售货者,"shòu huò zhe"
sprzedać,卖,mài
sprzęgło,离合器,"lí hé qì"
sprzątać,打扫,"dǎ sǎo"
srebro,银,yín
sroka,喜鹊,"xǐ que"
ssak,哺乳动物,"bǔ rǔ dòng wù"
stadion,体育场,"tǐ yù chǎng"
stal,钢,gāng
Stanisław,斯坦尼斯瓦夫,"sī tǎn ní sī wǎ fū"
Stanisława,斯坦尼斯瓦娃,"sī tǎn ní sī wǎ wá"
stanowczy,果断,"guǒ duàn"
"Stany Zjednoczone",美国,měiguó
starożytny,古代的,"gǔ dài de"
start,起点,"qǐ diǎn"
stary,旧的,"jiù de"
stary,老的,"lǎo de"
statek,船,chuán
"statek kosmiczny",飞船,fēichuán
status,地位,"dì wèi"
statystyka,统计,tǒngjì
statyw,三脚架,"sān jiǎo jià"
stać,站,zhàn
"stać w kolejce",排队,"pái duì"
Stefan,史蒂文,shǐdìwén
sto,百,bǎi
"sto milionów",亿,yì
stolica,首都,shǒudū
stonoga,蜈蚣,"wú gōng"
stopa,脚,jiǎo
stosować,使用,"shǐ yòng"
stół,桌子,"zhuō zi"
stożek,圆锥体,"yuán zhuī tǐ"
strach,害怕,"hài pà"
"strach na wróble",稻草人,"dào cǎo rén"
strategia,战略,"zhàn luè"
"straż pożarna",消防队,"xiāo fáng duì"
strażak,消防队员,"xiāo fáng duì yuán"
strażnik,看守,"kān shǒu"
strefa,地域,"dì yù"
stres,压力,"yā lì"
strona,页,yè
strona,侧,cè
stróż,看门人,kānménrén
struś,鸵鸟,tuóniǎo
strych,阁楼,"gé lóu"
strzała,箭,jiàn
strzelać,射,shè
Strzelec,射手座,shèshǒuzuò
"strzelec wyborowy",狙击兵,"jū jī bīng"
strzykawka,注射器,"zhù shè qì"
student,学生,"xué sheng"
studio,画室,"huà shì"
"studzienka ściekowa",下水道,xiàshuǐdào
styczeń,一月,yīyuè
styl,风格,"fēng gé"
suchy,干的,gānde
Sudan,苏丹,"sū dān"
sufit,天花板,tiānhuābǎn
sukces,成功,chénggōng
sukces,杰出,jiéchū
sukienka,裙子,qúnzi
suma,总数,zŏngshù
super,超级的,"chāo jí de"
suseł,北美地鼠,"běi měi dì shǔ"
swędzenie,痒,yăng
sweter,毛衣,máoyī
sygnalizator,红绿灯,hónglǜdēng
symbol,符号,fúhào
symetria,对称,"duì chèn"
syn,儿子,érzi
syn,儿,ér
sypialnia,卧室,"wò shì"
syrena,美人鱼,"měi rén yú"
system,系统,"xì tǒng"
szabla,军刀,"jūn dāo"
szachy,国际象棋,"guójì xiàngqí"
szacunek,尊敬,"zūn jìng"
szafa,衣柜,"yī guì"
szafka,橱柜,"chú guì"
szakal,狐狼,"hú láng"
szaleństwo,疯狂,"fēng kuáng"
szalik,围巾,"wéi jīn"
szalony,疯,fēng
szaman,僧人,"sēng rén"
szampan,香槟,xiāngbīn
szampon,洗发精,"xǐ fā jīng"
Szanghaj,上海,"shàng hǎi"
szansa,机会,jīhuì
szary,灰色,"huī sè"
szatan,魔鬼,móguǐ
szatan,撒旦,sādán
szatnia,衣帽间,yīmàojiān
szczęka,上颚,"shàng è"
szczepionka,疫苗,"yì miáo"
szczerość,诚实,"chéng shí"
szczery,真诚,"zhēn chéng"
szczęście,幸福,"xìng fú"
szczęście,运气,"yùn qì"
szczęśliwy,高兴,gāoxìng
"szczoteczka do zębów",牙刷,"yá shuā"
szczupły,苗条的,miáotiáode
szczur,鼠,shǔ
szczypiorek,虾夷葱,"xiā yí cōng"
szczyt,顶,dǐng
szef,老板,lǎobǎn
szept,耳语,"ěr yǔ"
szeptać,耳语,"ěr yǔ"
szeroki,宽阔的,kuānkuòde
szerokość,宽度,"kuān dù"
szerszeń,大黄蜂,"dà huáng fēng"
szewc,鞋匠,xiéjiàng
sześć,六,lìu
szkarlatyna,猩红热,xīnghóngrè
szkielet,骷髅,"kū lóu"
szkielet,骨架,"gǔ jià"
szklanka,杯子,"bēi zi"
szkoda,遗憾,yíhàn
szkoła,学校,"xué xiào"
"szkoła podstawowa",小学,"xiǎo xué"
szkło,玻璃,"bō li"
szlachcic,贵族,"guì zú"
szlachta,贵族,"guì zú"
szmaragd,绿宝石,"lǜ bǎo shí"
szminka,口红,"kǒu hóng"
sznur,绳,shéng
sznurek,粗绳,cūshéng
sznurowadło,鞋带,"xié dài"
szop,浣熊,"huàn xióng"
szorstki,粗糙的,cūcāode
szpada,重剑,"chóng jiàn"
szpinak,菠菜,bōcài
szpital,医院,yīyuàn
szpon,爪,zhǎo
szpon,爪,zhuǎ
sztuka,艺术,"yì shù"
"sztuka walki",武术,"wǔ shù"
sztylet,短剑,"duǎn jiàn"
szukać,找,zhǎo
Szwajcaria,瑞士,"ruì shì"
szybki,快的,kuàide
szybkość,速度,"sù dù"
szybujący,凶猛,xiōngměng
szyja,经,jǐng
Szymon,西蒙,xīméng
szynka,火腿,huǒtuǐ
szynka,腊肉,làròu
słaby,弱的,ruòde
sława,名声,"míng shēng"
słodki,甜的,"tián de"
słoń,星,dàxiàng
słońce,太阳,"tài yáng"
słonecznik,向日葵,xiàngrìkuí
słony,咸的,"xián de"
